feature_name,scenario_name,scenario_run_id,steps,step_status,step_duration_ms,error_message,ai_solution
OrangeHRM Login Page,Login with valid username and password,9d90c24f-4eae-4705-8cd7-7cc6fb852c90,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User enters username ""Admin""
User enters password ""admin123""
User clicks on Login button
User should be navigated to the dashboard page",PASSED,11908.783599999999,,
OrangeHRM Login Page,Login using Enter key instead of clicking Login button,29592246-0e8d-41e5-8240-eabdd9636577,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User enters username ""Admin""
User enters password ""admin123""
User presses Enter key
User should be navigated to the dashboard page",PASSED,45206.9906,,
OrangeHRM Login Page,Login with Remember Me checked,35657b96-be6c-4e8e-b68d-266b068ef59b,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User enters username ""Admin""
User enters password ""admin123""
User checks Remember Me option
User clicks on Login button
User should remain logged in on next visit",PASSED,29999.3396,,
OrangeHRM Login Page,Login with valid credentials containing special characters,fbed6122-2fdd-4232-ae1a-4e04b4a44f9f,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User enters username ""Admin!@#""
User enters password ""admin123!""
User clicks on Login button
User should be navigated to the dashboard page",FAILED,21084.3942,"java.lang.AssertionError: User is not on dashboard page expected [true] but found [false]
	at org.testng.Assert.fail(Assert.java:111)
	at org.testng.Assert.failNotEquals(Assert.java:1578)
	at org.testng.Assert.assertTrue(Assert.java:57)
	at stepdefinitions.LoginStepDefinitions.user_should_be_navigated_to_the_dashboard_page(LoginStepDefinitions.java:91)
	at ✽.User should be navigated to the dashboard page(file:///C:/Users/komalk5/OneDrive%20-%20Bitwise%20Solutions%20Private%20Limited/Desktop/Automation/Automation15/src/test/resources/features/OrangeHRMLogin.feature:33)
","Likely Cause:
  - The application may not support special characters in credentials, causing login to fail.
Fix Steps:
  1. Confirm requirements for allowed characters.
  2. Update backend validation and test data.
  3. Add user feedback for unsupported characters.
Benefits:
  - Ensures login works for all valid credential types.
  - Improves user experience and reduces login issues."
OrangeHRM Login Page,Login with valid long username and password,dae7732b-80b2-43c9-a027-9c153dd6e2fb,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User enters username ""AdminAdminAdmin""
User enters password ""admin123456789""
User clicks on Login button
User should be navigated to the dashboard page",FAILED,18358.0553,"java.lang.AssertionError: User is not on dashboard page expected [true] but found [false]
	at org.testng.Assert.fail(Assert.java:111)
	at org.testng.Assert.failNotEquals(Assert.java:1578)
	at org.testng.Assert.assertTrue(Assert.java:57)
	at stepdefinitions.LoginStepDefinitions.user_should_be_navigated_to_the_dashboard_page(LoginStepDefinitions.java:91)
	at ✽.User should be navigated to the dashboard page(file:///C:/Users/komalk5/OneDrive%20-%20Bitwise%20Solutions%20Private%20Limited/Desktop/Automation/Automation15/src/test/resources/features/OrangeHRMLogin.feature:39)
","Likely Cause:
  - The application may have length restrictions on username or password fields.
Fix Steps:
  1. Check application and database field length limits.
  2. Update test data to match allowed lengths.
  3. Add validation and user feedback for excessive input.
Benefits:
  - Prevents user confusion and ensures only valid data is submitted.
  - Reduces login failures due to input length."
OrangeHRM Login Page,Login with invalid username and valid password,c1698ce7-8dcd-4367-b221-c765ca28dd16,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User enters username ""WrongUser""
User enters password ""admin123""
User clicks on Login button
User should see error message ""Invalid credentials""",PASSED,12651.0956,,
OrangeHRM Login Page,Login with valid username and invalid password,aa68c8b9-19eb-44e5-9332-5dc971e82816,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User enters username ""Admin""
User enters password ""wrongPass""
User clicks on Login button
User should see error message ""Invalid credentials""",PASSED,10603.0191,,
OrangeHRM Login Page,Login with invalid username and invalid password,04f33e2a-bd8f-4bb4-ba06-a5a16be2c8d6,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User enters username ""WrongUser""
User enters password ""wrongPass""
User clicks on Login button
User should see error message ""Invalid credentials""",PASSED,11150.856299999998,,
OrangeHRM Login Page,Login with empty username and valid password,47f155af-bf9b-4303-819a-37b99bd28559,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User leaves username blank
User enters password ""admin123""
User clicks on Login button
User should see error message ""Required""",FAILED,17410.188599999998,"java.lang.AssertionError: Error message mismatch expected [Required] but found [null]
	at org.testng.Assert.fail(Assert.java:111)
	at org.testng.Assert.failNotEquals(Assert.java:1578)
	at org.testng.Assert.assertEqualsImpl(Assert.java:150)
	at org.testng.Assert.assertEquals(Assert.java:132)
	at org.testng.Assert.assertEquals(Assert.java:656)
	at stepdefinitions.LoginStepDefinitions.user_should_see_error_message(LoginStepDefinitions.java:97)
	at ✽.User should see error message ""Required""(file:///C:/Users/komalk5/OneDrive%20-%20Bitwise%20Solutions%20Private%20Limited/Desktop/Automation/Automation15/src/test/resources/features/OrangeHRMLogin.feature:64)
","Likely Cause:
  - The application did not display the required error message for a missing username.
Fix Steps:
  1. Ensure frontend validation is implemented for empty username fields.
  2. Add backend validation as a fallback.
  3. Update test to check for correct error message.
Benefits:
  - Improves user guidance and reduces login errors.
  - Ensures compliance with UX standards."
OrangeHRM Login Page,Login with valid username and empty password,d198f7bb-a200-4b13-8170-ce376cb9498b,"User is on OrangeHRM login page ""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login""
User enters username ""Admin""
User leaves password blank
User clicks on Login button
User should see error message ""Required""",FAILED,18515.1293,"java.lang.AssertionError: Error message mismatch expected [Required] but found [null]
	at org.testng.Assert.fail(Assert.java:111)
	at org.testng.Assert.failNotEquals(Assert.java:1578)
	at org.testng.Assert.assertEqualsImpl(Assert.java:150)
	at org.testng.Assert.assertEquals(Assert.java:132)
	at org.testng.Assert.assertEquals(Assert.java:656)
	at stepdefinitions.LoginStepDefinitions.user_should_see_error_message(LoginStepDefinitions.java:97)
	at ✽.User should see error message ""Required""(file:///C:/Users/komalk5/OneDrive%20-%20Bitwise%20Solutions%20Private%20Limited/Desktop/Automation/Automation15/src/test/resources/features/OrangeHRMLogin.feature:70)
","Likely Cause:
  - The application did not display the required error message for a missing password.
Fix Steps:
  1. Ensure frontend validation is implemented for empty password fields.
  2. Add backend validation as a fallback.
  3. Update test to check for correct error message.
Benefits:
  - Improves user guidance and reduces login errors.
  - Ensures compliance with UX standards."
